geolocation_city,geolocation_state,total_sellers,avg_lat,avg_lng
tanabi,SP,2,-20.623521591055777,-49.65195844976547
videira,SC,2,-27.00447650803858,-51.15253710423868
alfenas,MG,2,-21.42217278248631,-45.96434436535584
são caetano do sul,SP,2,-23.625279156696465,-46.568348708670726
bonfim paulista,SP,2,-21.254547608936228,-47.8152907655656
gaspar,SC,2,-26.893528836917028,-48.980654879296836
garopaba,SC,2,-28.038737678812907,-48.631463327998624
pradopolis,SP,2,-21.35993680296325,-48.07391298482993
formosa,GO,2,-15.545566850853252,-47.33341500283572
natal,RN,2,-5.816246213975868,-35.20472527144275
nova iguaçu,RJ,2,-22.744477193691708,-43.44986348491296
nova odessa,SP,2,-22.79310085387787,-47.310000403668695
montenegro,RS,2,-29.68780422662315,-51.467963988245124
igaracu do tiete,SP,2,-22.516187213174263,-48.56280548602923
ipatinga,MG,2,-19.484038382741268,-42.55553505364345
indaial,SC,2,-26.898820974551967,-49.24653906938705
pato branco,PR,2,-26.226411667052986,-52.67454717796045
pitanga,PR,2,-24.75784641485761,-51.76595818161726
porto belo,SC,2,-27.15728166876613,-48.57004704358004
petrópolis,RJ,2,-22.436604521498417,-43.18462810319869
patos de minas,MG,2,-18.585774270294678,-46.52233264700713
paulinia,SP,2,-22.76960017971,-47.150402273886904
paulo lopes,SC,2,-27.978665492288254,-48.68271760811336
paulínia,SP,2,-22.735332235607455,-47.17665406567105
imbituba,SC,2,-28.231882617674767,-48.67933195388163
farroupilha,RS,2,-29.316163765928543,-51.337219984864205
flores da cunha,RS,2,-29.035257065411393,-51.183154546287696
franco da rocha,SP,2,-23.314582097216643,-46.71273748696494
ribeirao das neves,MG,2,-19.809715570061748,-44.01979702415473
ribeirão preto,SP,2,-21.200712400380823,-47.78721011474358
sao miguel do oeste,SC,2,-26.73341376125163,-53.517529914408506
estancia velha,RS,2,-28.771317519978446,-50.46414800112312
sao ludgero,SC,2,-28.32938171277176,-49.176644834659655
sao joao del rei,MG,2,-21.12879658788949,-44.25619443837246
sao joao de meriti,RJ,2,-22.771897406334297,-43.37991156186323
