geolocation_city,geolocation_state,total_orders,avg_lat,avg_lng
seropedica,RJ,33,-22.764183503464924,-43.68134013276587
camaragibe,PE,33,-8.011565132861186,-34.99093470692313
paulínia,SP,33,-22.735332235607455,-47.17665406567105
sobral,CE,33,-3.6875216197436402,-40.35002113856231
montenegro,RS,32,-29.68780422662315,-51.467963988245124
monte alto,SP,32,-21.263459220114285,-48.495496727506335
parati,RJ,32,-23.212886071407144,-44.70778007705104
cataguases,MG,32,-21.387662452306657,-42.69525911679502
formiga,MG,32,-20.46253562176835,-45.433058998165116
capivari,SP,32,-22.997483794858958,-47.505725105505064
jequie,BA,32,-13.860337284791362,-40.08395470905618
arapongas,PR,32,-23.40716410749824,-51.4350376555034
santa rosa,RS,32,-27.93742235065361,-54.43129679704286
são lourenço,MG,32,-22.118180246849835,-45.05459488787902
piumhii,MG,31,-20.46910716689903,-45.96079974138365
itajaí,SC,31,-26.908571636564268,-48.667023073239335
imbituba,SC,31,-28.231882617674767,-48.67933195388163
itaguai,RJ,31,-22.872600345866502,-43.79084120111912
valenca,RJ,31,-22.25113169123052,-43.73462762591185
maringá,PR,31,-23.435196976544148,-51.949065144712996
santana de parnaíba,SP,31,-23.429260502101275,-46.87187099582632
ibiuna,SP,31,-23.66029740274755,-47.21680387588347
juazeiro do norte,CE,31,-7.223515506198445,-39.315834175087694
bage,RS,31,-31.32479068574311,-54.09383106492247
bagé,RS,31,-31.326879108941498,-54.10867227930161
navegantes,SC,31,-26.872839818940474,-48.65689189005184
parauapebas,PA,31,-6.906241690865959,-49.71245085381323
nilópolis,RJ,31,-22.811186924388856,-43.41443771317842
promissao,SP,31,-21.540999972045167,-49.856858452635045
guaiba,RS,31,-30.121449870629622,-51.336325678972145
tijucas,SC,30,-27.23924890910297,-48.63706692121833
cerquilho,SP,30,-23.166261903785394,-47.746688703504226
marechal candido rondon,PR,30,-24.554525017898506,-54.05852495786673
santo antonio de padua,RJ,30,-21.552859881634557,-42.19618878044136
cruz alta,RS,30,-28.6423690806272,-53.604441358481985
garanhuns,PE,30,-8.89049493576216,-36.48629816853689
congonhas,MG,30,-20.509894537367913,-43.86168754730868
muriae,MG,30,-21.129355583780743,-42.37458684383294
mogi-guacu,SP,30,-22.368791198562217,-46.94100451036936
guarujá,SP,30,-23.981935498618416,-46.23827585792417
telemaco borba,PR,30,-24.329252360666363,-50.62674172199992
tres rios,RJ,30,-22.112309872073173,-43.205836035610496
cachoeira do sul,RS,30,-30.03622265971362,-52.89805455316524
mirassol,SP,29,-20.81477199899539,-49.50692752488179
gramado,RS,29,-29.38173761566205,-50.87401159925631
paranavai,PR,29,-23.083275766502187,-52.45911532053164
penapolis,SP,29,-21.42086322625826,-50.0761346264174
santo antonio de jesus,BA,29,-12.96023363974032,-39.252139089739615
fazenda rio grande,PR,29,-25.6545521246378,-49.30840878017005
arapiraca,AL,29,-9.750963199927064,-36.65742159802835
uberlândia,MG,29,-18.952903604771954,-48.30582752802912
xanxere,SC,29,-26.876415100422566,-52.403994657794016
ituverava,SP,28,-20.331414435926053,-47.789388483167954
alem paraiba,MG,28,-21.872728278244768,-42.693795195399666
primavera do leste,MT,28,-15.542518572911545,-54.299769427416514
armacao dos buzios,RJ,28,-22.76657248480372,-41.908675205986285
santa isabel,SP,28,-23.318322777448078,-46.22610698417855
barra bonita,SP,28,-22.48619767441374,-48.559591023505334
jales,SP,28,-20.271488947508207,-50.54708299064924
são caetano do sul,SP,28,-23.628028699442076,-46.56734546016836
itarare,SP,28,-24.11150288205772,-49.331432729703785
itabirito,MG,28,-20.25306174547873,-43.8009689283785
miguel pereira,RJ,28,-22.455516587510118,-43.47008296388348
arraial do cabo,RJ,28,-22.96356603137059,-42.0506509016767
teixeira de freitas,BA,28,-17.535995646496385,-39.74501486083035
orlandia,SP,28,-20.716823599737285,-47.87953500680893
criciúma,SC,28,-28.684914242158904,-49.382571130714986
itapolis,SP,28,-21.59434057175033,-48.8110842558583
garca,SP,27,-22.211471483564306,-49.65862497197639
cambe,PR,27,-23.28598945465706,-51.25711764329138
farroupilha,RS,27,-29.280061522253035,-51.34113276040988
rio bonito,RJ,27,-22.711927870432564,-42.63004113951235
batatais,SP,27,-20.892832077005906,-47.585039751459725
varzea grande,MT,27,-15.64782946672269,-56.1206512646228
canoinhas,SC,27,-26.17842967715644,-50.39172922868355
dois vizinhos,PR,27,-25.748854265422125,-53.06008829226007
várzea paulista,SP,27,-23.214405229000366,-46.83934207053173
matinhos,PR,27,-25.813132721140203,-48.5363046397346
dracena,SP,27,-21.48639335970809,-51.533744143993836
caete,MG,27,-19.8849004292492,-43.66495294562986
diamantina,MG,27,-18.240347942725787,-43.6005078626568
uniao da vitoria,PR,27,-26.230025780649704,-51.085727024437894
joacaba,SC,26,-27.172115507742987,-51.50903852507784
santiago,RS,26,-29.186543626128145,-54.867516055696015
maracanau,CE,26,-3.8688078389663025,-38.61018877149984
venancio aires,RS,26,-29.61111067145766,-52.193313555031075
gaspar,SC,26,-26.91432353890319,-48.94640169443979
brumadinho,MG,26,-20.13944080447951,-44.17686088474677
indaial,SC,26,-26.89762455044902,-49.23935728406987
araçatuba,SP,26,-21.209349569524818,-50.446291285326076
carapicuíba,SP,26,-23.54743241728785,-46.83697280312117
porto ferreira,SP,26,-21.866032425983516,-47.4781017581213
mafra,SC,25,-26.12585603089477,-49.81253069564952
carangola,MG,25,-20.732516031917747,-42.029943765152545
santa barbara,MG,25,-19.961677660888395,-43.41034926077617
